complaint_text,department,category,priority,clean_text
Power failure during midnight disturbing sleep due to fan stopping.,Electricity,Power Cut,High,power failure during midnight disturbing sleep due to fan stopping.
Office servers crashed during power cut causing data loss issue.,Electricity,Power Cut,High,office servers crashed during power cut causing data loss issue.
Power outage affecting sewage pumping creating overflow situation.,Electricity,Power Cut,High,power outage affecting sewage pumping creating overflow situation.
Electric fence for security useless during power cut periods.,Electricity,Power Cut,High,electric fence for security useless during power cut periods.
Power cut coincides with internet provider power failure too.,Electricity,Power Cut,High,power cut coincides with internet provider power failure too.
Emergency light batteries exhausted from repeated power cuts usage.,Electricity,Power Cut,High,emergency light batteries exhausted from repeated power cuts usage.
Power restoration creates surge damaging stabilizer protected equipment.,Electricity,Power Cut,High,power restoration creates surge damaging stabilizer protected equipment.
Lineman came inspected left without repairing the power fault.,Electricity,Power Cut,High,lineman came inspected left without repairing the power fault.
Power cut affects cellular towers making even phone calls impossible.,Electricity,Power Cut,High,power cut affects cellular towers making even phone calls impossible.
Commercial complex tenants threatening to leave due to power issues.,Electricity,Power Cut,High,commercial complex tenants threatening to leave due to power issues.
Evening power cut means dinner preparation in darkness by candle.,Electricity,Power Cut,High,evening power cut means dinner preparation in darkness by candle.
Power meter shows credit balance but no electricity in house.,Electricity,Power Cut,High,power meter shows credit balance but no electricity in house.
Power cut during pregnancy labor had to rush to hospital in dark.,Electricity,Power Cut,High,power cut during pregnancy labor had to rush to hospital in dark.
Repeated power cuts damaging aquarium fish due to filter failure.,Electricity,Power Cut,High,repeated power cuts damaging aquarium fish due to filter failure.
Garbage burning creating air pollution in residential neighborhood.,Sanitation,Garbage,Low,garbage burning creating air pollution in residential neighborhood.
Sweeper on leave for week with no replacement arranged.,Sanitation,Garbage,Low,sweeper on leave for week with no replacement arranged.
Public dustbin removed but no alternative provided creating mess.,Sanitation,Garbage,Low,public dustbin removed but no alternative provided creating mess.
Garbage collection worker rude and demanding tips for basic service.,Sanitation,Garbage,Low,garbage collection worker rude and demanding tips for basic service.
Street drain clogged with garbage causing roadside waterlogging.,Sanitation,Garbage,Low,street drain clogged with garbage causing roadside waterlogging.
Garbage awareness signboards themselves surrounded by garbage ironically.,Sanitation,Garbage,Low,garbage awareness signboards themselves surrounded by garbage ironically.
Animal carcass in garbage dump attracting vultures to residential area.,Sanitation,Garbage,Low,animal carcass in garbage dump attracting vultures to residential area.
Garbage sorting center nearby creating smell problem for residents.,Sanitation,Garbage,Low,garbage sorting center nearby creating smell problem for residents.
Plastic ban announced but all garbage still contains plastic items.,Sanitation,Garbage,Low,plastic ban announced but all garbage still contains plastic items.
Garbage truck horn at 5 AM daily disturbing sleep of residents.,Sanitation,Garbage,Low,garbage truck horn at 5 am daily disturbing sleep of residents.
Empty chemical containers dumped with regular garbage creating hazard.,Sanitation,Garbage,Low,empty chemical containers dumped with regular garbage creating hazard.
Community cleanup drive garbage collected but not taken away after.,Sanitation,Garbage,Low,community cleanup drive garbage collected but not taken away after.
Garbage collection happening but sweeping of road surface completely stopped.,Sanitation,Garbage,Low,garbage collection happening but sweeping of road surface completely stopped.
Leather waste from shoe factory creating foul smell near homes.,Sanitation,Garbage,Low,leather waste from shoe factory creating foul smell near homes.
Paint tins dumped in garbage creating color pollution on road.,Sanitation,Garbage,Low,paint tins dumped in garbage creating color pollution on road.
Auto parts scrap mixed with domestic garbage creating sharp hazard.,Sanitation,Garbage,Low,auto parts scrap mixed with domestic garbage creating sharp hazard.
Festival crackers waste still lying on streets days after diwali.,Sanitation,Garbage,Low,festival crackers waste still lying on streets days after diwali.
Garbage collection point attracting beggars creating safety issue.,Sanitation,Garbage,Low,garbage collection point attracting beggars creating safety issue.
Stagnant water in garbage pile breeding dengue mosquitoes.,Sanitation,Garbage,Low,stagnant water in garbage pile breeding dengue mosquitoes.
Expired medicine packets from nearby clinic dumped with regular waste.,Sanitation,Garbage,Low,expired medicine packets from nearby clinic dumped with regular waste.
Water pipeline damage near the toll booth causing massive flooding.,Water Supply,Leakage,High,water pipeline damage near the toll booth causing massive flooding.
Burst pipe at corner junction creating intersection flooding issue.,Water Supply,Leakage,High,burst pipe at corner junction creating intersection flooding issue.
